97343.150 916387.710     272.650 SOFT 2
97345.020 916378.480     272.650 SOFT 2
97350.040 916370.530     272.650 SOFT 2
97355.810 916363.800     272.650 SOFT 2
97361.750 916357.820     272.490 SOFT 2
97367.710 916353.140     271.670 SOFT 2
97374.580 916349.950     271.170 SOFT 2
97382.640 916349.530     271.010 SOFT 2
97391.060 916351.500     270.920 SOFT 2
97399.640 916353.870     270.350 SOFT 2
97407.720 916355.600     269.280 SOFT 2
97415.730 916358.230     268.700 SOFT 2
97423.580 916361.350     268.540 SOFT 2
97430.680 916364.400     267.800 SOFT 2
97436.390 916366.810     267.140 SOFT 2
97443.000 916369.460     266.810 SOFT 2
97448.860 916371.040     266.400 SOFT 2
97455.120 916372.040     265.080 SOFT 2
97455.690 916372.040     265.000 SOFT 4
97443.440 916318.520     268.460 SOFT 1
97441.160 916312.620     269.110 SOFT 2
97437.450 916304.850     270.510 SOFT 2
97432.670 916295.850     271.170 SOFT 2
97426.810 916286.530     272.820 SOFT 2
97420.870 916277.540     274.220 SOFT 2
97415.270 916269.290     274.790 SOFT 2
97410.740 916261.030     274.790 SOFT 2
97407.370 916253.250     274.790 SOFT 2
97405.740 916247.020     274.790 SOFT 2
97404.430 916240.040     274.790 SOFT 2
97403.190 916232.070     274.790 SOFT 2
97403.180 916230.670     274.790 SOFT 4
97389.940 916030.480     280.220 SOFT 1
97395.750 916027.120     280.220 SOFT 2
97402.220 916024.750     280.220 SOFT 2
97409.950 916024.180     279.890 SOFT 2
97417.520 916024.590     279.650 SOFT 2
97424.930 916025.420     278.900 SOFT 2
97431.270 916025.430     278.410 SOFT 2
97437.810 916021.490     277.920 SOFT 2
97442.110 916016.020     277.670 SOFT 2
97442.850 916015.680     277.670 SOFT 4
97382.570 915941.040     276.350 SOFT 1
97389.840 915943.840     276.350 SOFT 2
97397.420 915944.590     276.350 SOFT 2
97405.880 915943.590     276.270 SOFT 2
97413.500 915940.300     276.270 SOFT 2
97420.620 915936.930     276.270 SOFT 2
97427.670 915934.560     276.270 SOFT 2
97433.570 915932.350     276.110 SOFT 2
97440.710 915930.960     275.940 SOFT 2
97443.770 915931.920     275.940 SOFT 4
97463.860 915925.940     274.300 SOFT 1
97470.800 915929.080     273.970 SOFT 2
97479.150 915932.120     273.970 SOFT 2
97489.530 915933.810     273.970 SOFT 2
97500.410 915935.590     273.060 SOFT 2
97511.140 915939.010     272.320 SOFT 2
97521.150 915944.260     271.910 SOFT 2
97529.200 915950.420     271.830 SOFT 2
97536.660 915955.360     271.170 SOFT 2
97544.350 915959.310     270.430 SOFT 2
97551.870 915962.770     270.180 SOFT 2
97558.170 915967.230     270.100 SOFT 2
97561.520 915972.290     270.100 SOFT 2
97562.660 915979.030     270.100 SOFT 2
97562.690 915981.740     270.100 SOFT 4
97532.970 915980.250     274.540 SOFT 1
97532.400 915973.340     274.960 SOFT 2
97529.020 915964.660     274.960 SOFT 2
97524.510 915958.210     274.960 SOFT 2
97518.040 915952.930     274.960 SOFT 2
97509.940 915949.890     275.040 SOFT 2
97501.880 915949.730     275.280 SOFT 2
97494.880 915949.640     275.370 SOFT 2
97488.380 915949.710     275.370 SOFT 2
97483.480 915953.210     275.370 SOFT 2
97480.330 915958.430     275.200 SOFT 2
97479.090 915965.440     275.200 SOFT 4
97461.850 915984.050     275.200 SOFT 1
97464.860 915989.280     275.200 SOFT 2
97470.170 915993.590     275.200 SOFT 2
97476.700 915996.400     275.200 SOFT 2
97484.200 915996.810     274.630 SOFT 2
97492.830 915996.640     274.220 SOFT 2
97502.130 915996.780     274.130 SOFT 2
97511.360 915997.840     273.800 SOFT 2
97519.510 915998.490     273.060 SOFT 2
97526.260 915998.500     272.820 SOFT 2
97532.900 915996.620     272.320 SOFT 2
97534.950 915996.270     272.240 SOFT 4
97576.220 916001.010     269.440 SOFT 1
97579.740 916007.310     269.440 SOFT 2
97584.240 916012.200     269.200 SOFT 2
97591.680 916015.490     268.130 SOFT 2
97597.570 916012.800     267.550 SOFT 2
97600.230 916007.670     266.560 SOFT 2
97600.350 916002.810     266.400 SOFT 4
97476.670 916015.980     275.450 SOFT 1
97483.080 916015.420     275.450 SOFT 2
97492.040 916015.320     275.040 SOFT 2
97502.570 916015.210     274.050 SOFT 2
97513.760 916015.090     273.640 SOFT 2
97523.640 916015.720     272.730 SOFT 2
97532.370 916016.130     271.420 SOFT 2
97540.990 916014.880     270.600 SOFT 2
97549.540 916013.890     270.270 SOFT 2
97557.880 916016.510     270.270 SOFT 2
97565.660 916021.610     270.100 SOFT 2
97573.610 916026.050     268.620 SOFT 2
97583.020 916029.240     267.550 SOFT 2
97592.030 916032.850     266.980 SOFT 2
97598.670 916038.290     266.400 SOFT 2
97603.280 916046.140     265.740 SOFT 2
97607.090 916056.550     265.580 SOFT 2
97610.670 916067.860     265.580 SOFT 2
97614.240 916078.930     265.580 SOFT 2
97618.060 916090.080     265.580 SOFT 2
97619.850 916095.900     265.580 SOFT 2
97621.480 916101.730     265.580 SOFT 2
97622.940 916107.720     265.580 SOFT 2
97625.530 916118.960     264.920 SOFT 2
97627.520 916128.810     264.340 SOFT 2
97628.950 916138.750     264.180 SOFT 2
97629.720 916149.440     264.180 SOFT 2
97630.400 916159.800     264.180 SOFT 2
97631.420 916170.160     263.930 SOFT 2
97632.350 916180.590     263.190 SOFT 2
97632.790 916191.040     262.700 SOFT 2
97632.910 916201.490     262.620 SOFT 2
97633.170 916211.270     262.620 SOFT 2
97633.850 916221.060     262.530 SOFT 2
97635.120 916231.330     262.530 SOFT 2
97637.110 916240.930     262.530 SOFT 2
97640.000 916250.030     262.530 SOFT 2
97644.540 916258.380     262.370 SOFT 2
97650.290 916265.470     262.120 SOFT 2
97655.870 916272.160     262.040 SOFT 2
97659.160 916279.940     262.040 SOFT 2
97658.680 916288.420     261.880 SOFT 2
97654.980 916296.200     261.300 SOFT 2
97648.710 916302.760     261.130 SOFT 2
97641.700 916309.170     261.130 SOFT 2
97635.530 916316.810     261.130 SOFT 2
97631.850 916326.390     261.130 SOFT 2
97628.910 916336.540     261.130 SOFT 2
97626.220 916346.360     260.560 SOFT 2
97623.270 916355.440     260.070 SOFT 2
97620.580 916364.680     260.070 SOFT 2
97618.050 916374.500     260.070 SOFT 2
97616.500 916384.140     260.070 SOFT 2
97618.240 916392.930     260.070 SOFT 2
97622.770 916400.780     260.070 SOFT 2
97628.770 916407.790     260.070 SOFT 2
97635.570 916412.900     259.410 SOFT 2
97641.280 916416.460     259.000 SOFT 2
97646.780 916422.820     258.830 SOFT 2
97647.920 916428.980     258.830 SOFT 2
97647.910 916436.140     258.830 SOFT 2
97648.250 916436.870     258.830 SOFT 4
97512.290 916387.060     260.310 SOFT 1
97512.540 916379.250     260.310 SOFT 2
97513.850 916371.250     260.560 SOFT 2
97515.980 916361.930     260.640 SOFT 2
97518.170 916352.040     260.640 SOFT 2
97520.700 916342.300     260.640 SOFT 2
97523.410 916333.630     260.810 SOFT 2
97527.780 916326.920     260.970 SOFT 2
97534.500 916324.300     260.970 SOFT 2
97543.240 916326.350     260.970 SOFT 2
97552.390 916328.140     260.970 SOFT 2
97559.680 916325.270     260.970 SOFT 2
97562.560 916317.250     260.970 SOFT 2
97561.950 916305.990     260.970 SOFT 2
97560.840 916294.400     260.970 SOFT 2
97560.770 916288.230     260.970 SOFT 2
97560.870 916281.980     260.970 SOFT 2
97561.700 916275.550     260.970 SOFT 2
97563.120 916269.200     260.970 SOFT 2
97564.780 916262.770     261.050 SOFT 2
97566.440 916256.410     261.220 SOFT 2
97568.020 916250.390     261.550 SOFT 2
97571.110 916239.330     261.790 SOFT 2
97575.530 916229.740     261.790 SOFT 2
97582.040 916222.430     262.290 SOFT 2
97589.460 916216.100     263.190 SOFT 2
97595.800 916209.370     263.190 SOFT 2
97598.340 916200.870     263.270 SOFT 2
97598.570 916191.400     263.440 SOFT 2
97598.480 916182.520     264.010 SOFT 2
97600.110 916174.030     264.100 SOFT 2
97602.070 916164.870     264.100 SOFT 2
97602.140 916155.490     264.100 SOFT 2
97600.390 916146.050     264.590 SOFT 2
97597.070 916135.560     265.170 SOFT 2
97593.010 916125.150     265.170 SOFT 2
97589.110 916113.840     265.580 SOFT 2
97587.070 916108.100     266.240 SOFT 2
97583.330 916097.030     267.220 SOFT 2
97580.260 916086.370     267.390 SOFT 2
97578.830 916075.690     267.470 SOFT 2
97578.720 916065.820     268.050 SOFT 2
97577.810 916057.600     268.700 SOFT 2
97575.180 916050.140     268.790 SOFT 2
97571.410 916043.520     269.440 SOFT 2
97569.750 916034.160     269.940 SOFT 4
97483.330 916039.520     276.770 SOFT 1
97489.380 916043.650     276.850 SOFT 2
97495.770 916048.030     276.850 SOFT 2
97501.750 916054.130     276.850 SOFT 2
97506.040 916062.890     276.850 SOFT 2
97509.440 916072.730     276.850 SOFT 2
97511.600 916082.910     276.850 SOFT 2
97511.960 916093.190     276.850 SOFT 2
97511.240 916103.150     276.440 SOFT 2
97509.860 916112.380     276.190 SOFT 2
97508.560 916121.360     275.280 SOFT 2
97507.660 916129.760     274.130 SOFT 2
97506.520 916138.740     273.390 SOFT 2
97504.150 916148.150     273.150 SOFT 2
97501.130 916157.390     273.150 SOFT 2
97498.270 916167.050     272.730 SOFT 2
97497.470 916177.510     272.570 SOFT 2
97498.010 916188.940     272.570 SOFT 2
97498.150 916194.940     272.570 SOFT 2
97497.810 916200.950     272.570 SOFT 2
